Date,Open,High,Low,Close,Adj Close,Volume
2024-03-06,103.785004,103.845001,103.150002,103.320999,103.320999,20159
2024-03-07,103.254997,103.324997,102.760002,102.772003,102.772003,19522
2024-03-08,102.735001,102.864998,102.300003,102.688004,102.688004,20509
2024-03-11,102.709999,102.915001,102.610001,102.851997,102.851997,19041
2024-03-12,102.769997,103.315002,102.699997,102.933998,102.933998,15464
2024-03-13,102.919998,103.000000,102.644997,102.765999,102.765999,18095
2024-03-14,102.745003,103.385002,102.724998,103.342003,103.342003,18027
2024-03-15,103.370003,103.480003,103.300003,103.414001,103.414001,4700
2024-03-18,103.455002,103.474998,103.375000,103.460999,103.460999,8713
2024-03-19,103.220001,103.709999,103.209999,103.484001,103.484001,12876
2024-03-20,103.529999,103.809998,103.029999,103.045998,103.045998,21292
2024-03-21,102.919998,103.739998,102.830002,103.666000,103.666000,21299
2024-03-22,103.665001,104.199997,103.605003,104.177002,104.177002,19174
2024-03-25,104.165001,104.190002,103.839996,103.933998,103.933998,15037
2024-03-26,103.925003,104.029999,103.709999,103.990997,103.990997,8546
2024-03-27,104.004997,104.165001,103.919998,104.064003,104.064003,11294
2024-03-28,104.135002,104.449997,104.029999,104.268997,104.268997,0
2024-04-01,104.250000,104.805000,104.135002,104.764000,104.764000,15078
2024-04-02,104.735001,104.839996,104.419998,104.561996,104.561996,14857
2024-04-03,104.529999,104.589996,103.970001,103.997002,103.997002,13461
2024-04-04,103.980003,104.029999,103.680000,103.890999,103.890999,15518
2024-04-05,104.004997,104.459999,103.910004,104.070999,104.070999,18002
2024-04-08,104.059998,104.209999,103.860001,103.902000,103.902000,14702
2024-04-09,103.870003,103.974998,103.644997,103.921997,103.921997,9435
2024-04-10,103.889999,105.084999,103.794998,105.030998,105.030998,22289
2024-04-11,105.010002,105.309998,104.820000,105.064003,105.064003,18470
2024-04-12,105.070000,105.900002,105.025002,105.832001,105.832001,15714
2024-04-15,105.830002,106.044998,105.639999,105.998001,105.998001,12782
2024-04-16,105.989998,106.324997,105.870003,106.065002,106.065002,16567
2024-04-17,106.160004,106.254997,105.684998,105.764000,105.764000,15884
2024-04-18,105.790001,106.010002,105.570000,105.982002,105.982002,13617
2024-04-19,106.000000,106.184998,105.669998,105.984001,105.984001,16547
2024-04-22,105.885002,106.235001,105.824997,105.913002,105.913002,13354
2024-04-23,105.959999,106.074997,105.445000,105.504997,105.504997,17737
2024-04-24,105.519997,105.790001,105.425003,105.699997,105.699997,8177
2024-04-25,105.675003,105.870003,105.330002,105.450996,105.450996,14865
2024-04-26,105.455002,106.059998,105.269997,105.804001,105.804001,19700
2024-04-29,105.879997,106.004997,105.330002,105.447998,105.447998,26823
2024-04-30,105.559998,106.214996,105.540001,106.099998,106.099998,17345
2024-05-01,106.209999,106.379997,105.315002,105.627998,105.627998,30653
2024-05-02,105.589996,105.785004,105.169998,105.178001,105.178001,18589
2024-05-03,105.175003,105.245003,104.410004,104.917999,104.917999,26270
2024-05-06,104.889999,105.074997,104.745003,104.918999,104.918999,8708
2024-05-07,105.014999,105.330002,104.919998,105.300003,105.300003,9949
2024-05-08,105.300003,105.535004,105.279999,105.426003,105.426003,8461
2024-05-09,105.410004,105.639999,105.065002,105.103996,105.103996,12639
2024-05-10,105.084999,105.279999,105.010002,105.175003,105.175003,12686
2024-05-13,105.169998,105.239998,104.925003,105.102997,105.102997,6966
2024-05-14,105.070000,105.379997,104.834999,104.891998,104.891998,9567
2024-05-15,104.934998,104.940002,104.154999,104.211998,104.211998,20950
2024-05-16,104.105003,104.500000,103.964996,104.345001,104.345001,15313
2024-05-17,104.389999,104.684998,104.279999,104.330002,104.330002,11708
2024-05-20,104.370003,104.540001,104.290001,104.459999,104.459999,8812
2024-05-21,104.489998,104.669998,104.364998,104.556000,104.556000,12268
2024-05-22,104.535004,104.879997,104.449997,104.835999,104.835999,13218
2024-05-23,104.839996,105.040001,104.474998,105.036003,105.036003,15071
2024-05-24,104.989998,105.050003,104.550003,104.638000,104.638000,10419
2024-05-28,104.489998,104.559998,104.260002,104.539001,104.539001,11017
